"timeStamp","plate","description","created","totalDue","paid","scannedTime"
"Mon Feb 18 2019 11:18:13 GMT-0400 (Venezuela Time)","PCN97","","Mon Feb 18 2019 11:18:13 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 11:18:33 GMT-0400 (Venezuela Time)","PCY3371","","Mon Feb 18 2019 11:18:33 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 11:19:26 GMT-0400 (Venezuela Time)","PDC3234","","Mon Feb 18 2019 11:19:26 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 11:19:56 GMT-0400 (Venezuela Time)","PCK815","","Mon Feb 18 2019 11:19:56 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 11:20:37 GMT-0400 (Venezuela Time)","TCM7917","","Mon Feb 18 2019 11:20:37 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 11:21:57 GMT-0400 (Venezuela Time)","PBT5065","","Mon Feb 18 2019 11:21:57 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 11:23:14 GMT-0400 (Venezuela Time)","PCW5367","","Mon Feb 18 2019 11:23:14 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 11:24:03 GMT-0400 (Venezuela Time)","PDP5233","","Mon Feb 18 2019 11:24:03 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 11:24:33 GMT-0400 (Venezuela Time)","PDH6386","","Mon Feb 18 2019 11:24:33 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 11:34:41 GMT-0400 (Venezuela Time)","TBN1262","","Mon Feb 18 2019 11:34:41 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 13:09:56 GMT-0400 (Venezuela Time)","PCA5904","","Mon Feb 18 2019 13:09:56 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 13:12:02 GMT-0400 (Venezuela Time)","PCA5904","","Mon Feb 18 2019 13:12:02 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 13:12:22 GMT-0400 (Venezuela Time)","PBD1686","","Mon Feb 18 2019 13:12:22 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 13:14:16 GMT-0400 (Venezuela Time)","PDK7379","","Mon Feb 18 2019 13:14:16 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 13:14:53 GMT-0400 (Venezuela Time)","PCB6739","","Mon Feb 18 2019 13:14:53 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 13:15:54 GMT-0400 (Venezuela Time)","PBN8934","","Mon Feb 18 2019 13:15:54 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 13:16:12 GMT-0400 (Venezuela Time)","PBJ4911","","Mon Feb 18 2019 13:16:12 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 13:17:40 GMT-0400 (Venezuela Time)","PBU3107","","Mon Feb 18 2019 13:17:40 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 13:18:00 GMT-0400 (Venezuela Time)","TDS3722","","Mon Feb 18 2019 13:18:00 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 13:18:37 GMT-0400 (Venezuela Time)","TBH5394","","Mon Feb 18 2019 13:18:37 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 13:22:48 GMT-0400 (Venezuela Time)","TCK6387","","Mon Feb 18 2019 13:22:48 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 13:24:01 GMT-0400 (Venezuela Time)","TCN2111","","Mon Feb 18 2019 13:24:01 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 13:24:23 GMT-0400 (Venezuela Time)","PBU3337","","Mon Feb 18 2019 13:24:23 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 13:26:54 GMT-0400 (Venezuela Time)","PBR2795","","Mon Feb 18 2019 13:26:54 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 13:36:08 GMT-0400 (Venezuela Time)","PDR235","","Mon Feb 18 2019 13:36:08 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 13:37:23 GMT-0400 (Venezuela Time)","PDH1150","","Mon Feb 18 2019 13:37:23 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 13:40:17 GMT-0400 (Venezuela Time)","PDT3105","","Mon Feb 18 2019 13:40:17 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 13:44:09 GMT-0400 (Venezuela Time)","PBD332","","Mon Feb 18 2019 13:44:09 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 13:45:40 GMT-0400 (Venezuela Time)","PDD2384","","Mon Feb 18 2019 13:45:40 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 13:49:19 GMT-0400 (Venezuela Time)","PDG9613","","Mon Feb 18 2019 13:49:19 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 13:52:53 GMT-0400 (Venezuela Time)","PBM3435","","Mon Feb 18 2019 13:52:53 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 13:58:41 GMT-0400 (Venezuela Time)","PDG9613","","Mon Feb 18 2019 13:58:41 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 14:00:37 GMT-0400 (Venezuela Time)","HBJ5767","","Mon Feb 18 2019 14:00:37 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 14:03:19 GMT-0400 (Venezuela Time)","PDJ1125","","Mon Feb 18 2019 14:03:19 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 14:07:22 GMT-0400 (Venezuela Time)","PDU5793","","Mon Feb 18 2019 14:07:22 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 14:08:37 GMT-0400 (Venezuela Time)","TBC4115","","Mon Feb 18 2019 14:08:37 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 14:10:41 GMT-0400 (Venezuela Time)","PDR2394","","Mon Feb 18 2019 14:10:41 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 14:13:42 GMT-0400 (Venezuela Time)","HBT7415","","Mon Feb 18 2019 14:13:42 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 14:17:44 GMT-0400 (Venezuela Time)","PDG7537","","Mon Feb 18 2019 14:17:44 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 14:18:50 GMT-0400 (Venezuela Time)","TDE3520","","Mon Feb 18 2019 14:18:50 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 14:21:28 GMT-0400 (Venezuela Time)","PDP5262","","Mon Feb 18 2019 14:21:28 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 14:22:53 GMT-0400 (Venezuela Time)","TCN7816","","Mon Feb 18 2019 14:22:53 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 14:23:45 GMT-0400 (Venezuela Time)","PBL9753","","Mon Feb 18 2019 14:23:45 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 14:24:08 GMT-0400 (Venezuela Time)","PCB8982","","Mon Feb 18 2019 14:24:08 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 14:29:39 GMT-0400 (Venezuela Time)","PBT9865","","Mon Feb 18 2019 14:29:39 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 14:30:02 GMT-0400 (Venezuela Time)","PBX1800","","Mon Feb 18 2019 14:30:02 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 14:32:18 GMT-0400 (Venezuela Time)","PDA2089","","Mon Feb 18 2019 14:32:18 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 14:34:16 GMT-0400 (Venezuela Time)","TDT6346","","Mon Feb 18 2019 14:34:16 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 14:34:42 GMT-0400 (Venezuela Time)","PDE7860","","Mon Feb 18 2019 14:34:42 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 14:35:03 GMT-0400 (Venezuela Time)","TDE3363","","Mon Feb 18 2019 14:35:03 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 14:44:12 GMT-0400 (Venezuela Time)","PBN3529","","Mon Feb 18 2019 14:44:12 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 14:44:45 GMT-0400 (Venezuela Time)","TBH5394","","Mon Feb 18 2019 14:44:45 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 14:49:56 GMT-0400 (Venezuela Time)","PBN790","","Mon Feb 18 2019 14:49:56 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 14:50:05 GMT-0400 (Venezuela Time)","PBN5790","","Mon Feb 18 2019 14:50:05 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 14:53:22 GMT-0400 (Venezuela Time)","PCH1487","","Mon Feb 18 2019 14:53:22 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 14:53:41 GMT-0400 (Venezuela Time)","TDD2045","","Mon Feb 18 2019 14:53:41 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 15:03:41 GMT-0400 (Venezuela Time)","PBU6454","","Mon Feb 18 2019 15:03:41 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 15:09:42 GMT-0400 (Venezuela Time)","PCW7475","","Mon Feb 18 2019 15:09:42 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 15:13:07 GMT-0400 (Venezuela Time)","PBD3897","","Mon Feb 18 2019 15:13:07 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 15:13:36 GMT-0400 (Venezuela Time)","PCW2008","","Mon Feb 18 2019 15:13:36 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 15:14:49 GMT-0400 (Venezuela Time)","PBN4980","","Mon Feb 18 2019 15:14:49 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 15:15:48 GMT-0400 (Venezuela Time)","TDU1440","","Mon Feb 18 2019 15:15:48 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 15:16:10 GMT-0400 (Venezuela Time)","HCL935","","Mon Feb 18 2019 15:16:10 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 15:20:47 GMT-0400 (Venezuela Time)","PBS1913","","Mon Feb 18 2019 15:20:47 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 15:29:07 GMT-0400 (Venezuela Time)","TBX1148","","Mon Feb 18 2019 15:29:07 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 15:31:13 GMT-0400 (Venezuela Time)","TCJ3026","","Mon Feb 18 2019 15:31:13 GMT-0400 (Venezuela Time)","","",""
